Name,Year,Publisher,Global_Sales
Angry Birds Star Wars,2013.0,Activision,0.11
Transformer: Rise of the Dark Spark,2014.0,Activision,0.11
Child of Light,2014.0,Ubisoft,0.11
The Smurfs 2,2013.0,Ubisoft,0.1
NBA Live 16,2015.0,Electronic Arts,0.1
The Voice,2014.0,Activision,0.09
The Amazing Spider-Man (Console Version),2013.0,Activision,0.09
The Crew: Wild Run,2015.0,Ubisoft,0.09
NBA 2K16,2015.0,Take-Two Interactive,0.09
Transformers: Devastation,2015.0,Activision,0.09
Pokemon Rumble World,2015.0,Nintendo,0.09
Disney Art Academy,2016.0,Nintendo,0.09
Inazuma Eleven 3,2013.0,Nintendo,0.09
The Smurfs 2,2013.0,Ubisoft,0.09
SpongeBob: HeroPants,2015.0,Activision,0.09
Might & Magic Heroes VII,2015.0,Ubisoft,0.09
Just Dance Wii U,2014.0,Nintendo,0.09
BioShock The Collection,2016.0,Take-Two Interactive,0.08
Just Dance: Disney Party 2,2015.0,Ubisoft,0.08
Madden NFL 17,2016.0,Electronic Arts,0.08
The Voice,2014.0,Activision,0.08
Assassin's Creed Chronicles,2016.0,Ubisoft,0.08
Madden NFL 17,2016.0,Electronic Arts,0.08
Teenage Mutant Ninja Turtles: Mutants in Manhattan,2016.0,Activision,0.07
Just Dance: Disney Party 2,2015.0,Ubisoft,0.07
Rugby World Cup 2015,2015.0,Ubisoft,0.07
Battleborn,2016.0,Take-Two Interactive,0.07
Cut the Rope,2014.0,Activision,0.07
Assassin's Creed: Rogue,2015.0,Ubisoft,0.07
Toy Soldiers: War Chest,2015.0,Ubisoft,0.07
Moshi Monsters: Katsuma Unleashed,2013.0,Activision,0.07
Just Dance: Disney Party 2,2015.0,Ubisoft,0.07
Tony Hawk's Pro Skater 5,2015.0,Activision,0.07
Transformer: Rise of the Dark Spark (3DS),2014.0,Activision,0.07
Transformer: Rise of the Dark Spark,2014.0,Activision,0.07
The Amazing Spider-Man 2 (2014),2014.0,Activision,0.06
Mario vs. Donkey Kong: Tipping Stars,2015.0,Nintendo,0.06
SpongeBob SquarePants: Plankton's Robotic Revenge,2013.0,Activision,0.06
Devil's Third,2015.0,Nintendo,0.06
Destiny: The Collection,2016.0,Activision,0.06
TrackMania Turbo,2016.0,Ubisoft,0.06
The Amazing Spider-Man 2 (2014),2014.0,Activision,0.06
Rugby World Cup 2015,2015.0,Ubisoft,0.06
Tony Hawk's Pro Skater 5,2015.0,Activision,0.06
NHL Legacy,2015.0,Electronic Arts,0.05
NBA 2K17,2016.0,Take-Two Interactive,0.05
ZombiU,2016.0,Ubisoft,0.05
Teenage Mutant Ninja Turtles: Mutants in Manhattan,2016.0,Activision,0.05
FIFA 17,2016.0,Electronic Arts,0.05
