event_id;event_date;trading_date;ticker;publisher;studio;is_rockstar;game;franchise;event_type;sentiment;impact_expectation_manual;adj_close;return;market_return;AR_event;CAR_m1_p1;CAR_m5_p5;CAR_0_1;CAR_0_3;CAR_0_5;impact_label
GTAV_2013_DELAY;2013-01-31;2013-01-31;TTWO;Take-Two;Rockstar;1;GTA V;GTA;Delay;negative;medium;12.170000076293944;-0.0681470378810965;-0.0025633010773032;-0.0662852125313246;-0.02303395350702;-0.0175312747753036;-0.026151056449079106;-0.026151056449079106;-0.035325269160118314;Medium
TTWO_2013_GTA5_RELEASE;2013-09-17;2013-09-17;TTWO;Take-Two;Rockstar Games;1;GTA V;GTA;Release;Positive;High;17.0;-0.0201729322060152;0.0042177393276741;-0.0246809033914419;-0.0483489887668878;-0.0323753379083321;-0.0249013182044571;-0.0293547620967787;-0.0293547620967787;High
TTWO_2013_GTAONLINE_LAUNCH;2013-10-01;2013-10-01;TTWO;Take-Two;Rockstar Games;1;GTA Online;GTA;Release;Positive;Medium;18.3799991607666;0.0115574619477651;0.007998543475556;0.0034979777609166;0.0016619276209741;-0.030816059784833;-0.006214971867843699;-0.0256817027090962;-0.0256817027090962;Low
TTWO_2014_GTAONLINE_HEISTS;2014-12-09;2014-12-09;TTWO;Take-Two;Rockstar Games;1;GTA Online;GTA;Major Announcement;Positive;Medium;27.11000061035156;0.0207078748293816;-0.0002378235413311;0.0203852538602014;-0.0241354564157745;0.0325896488413321;0.0145419437600991;0.08353242585793;0.08353242585793;Medium
TTWO_2015_GTA5_PC_RELEASE;2015-04-14;2015-04-14;TTWO;Take-Two;Rockstar Games;1;GTA V;GTA;Release;Positive;Medium;24.93000030517578;0.0076798923126679;0.0016297588743277;0.0056029505770564;-0.0129838926228246;-0.030744063826081;0.0042321983025388;0.0021114593286732;0.0021114593286732;Medium
TTWO_2016_RDR2_ANNOUNCEMENT;2016-10-18;2016-10-18;TTWO;Take-Two;Rockstar Games;1;Red Dead Redemption 2;Red Dead;Trailer/Reveal;Positive;High;45.09000015258789;0.0053512081746287;0.0061604033182458;-0.0009816119450583;0.0300236677341689;0.0538408547295689;-0.0228813899253495;-0.0051929790337533;-0.0051929790337533;High
RDR2_2016_TRAILER1;2016-10-20;2016-10-20;TTWO;Take-Two;Rockstar;1;RDR2;Red Dead;Trailer/Reveal;positive;medium;44.97999954223633;0.0171867548745652;-0.0013757239543792;0.017933025060069;-0.004211367088695;0.0655211872822217;0.0176884108915962;0.0176884108915962;0.035497519548052706;Low
RDR2_2017_DELAY;2017-02-01;2017-02-01;TTWO;Take-Two;Rockstar;1;RDR2;Red Dead;Delay;negative;medium;54.36000061035156;0.0132339061375454;0.0002983634896507;0.0124076158067051;0.0227011585965694;0.0064282360409422;0.0194200335782857;-0.003826059614929298;0.002621486073892702;Medium
RDR2_2017_SCREENSHOTS;2017-05-03;2017-05-03;TTWO;Take-Two;Rockstar;1;RDR2;Red Dead;Trailer/Reveal;neutral;low;63.9900016784668;-0.0015602225797711;-0.0012713605313821;-0.0009119865793637;-0.0071056155445388;0.0223769053150458;-0.0071618926517149;0.0160982017863273;0.010014091539686501;Low
TTWO_2017_RDR2_DELAY;2017-05-22;2017-05-22;TTWO;Take-Two;Rockstar Games;1;Red Dead Redemption 2;Red Dead;Delay;Negative;Medium;69.04000091552734;0.0216040107267614;0.0051601311497457;0.0162108001378612;0.0688340917027369;0.0866805058443231;0.0688340917027368;0.1388032803014064;0.1193739328614844;High
